gene	jh44	jh45	jh46	jh47	jh61	jh62	jh63	jh64
cysA	529	6063	206	750	564	6306	92	405
purL	12395	4500	4084	782	6134	5761	980	597
yieP	2372	1422	413	127	1253	1155	142	81
birA	1203	671	529	180	984	651	234	129
alsE	59	57	14	15	68	61	12	14
yicS	26	69	7	6	21	56	8	8
cysM	722	3449	182	422	695	3031	98	249
queC	3194	3509	569	214	2309	3223	218	154
ybaE	419	567	399	296	222	200	182	208
yahO	151	843	42	48	132	639	11	49
prpR	14	20	31	28	17	26	15	38
rsmG	1830	1643	304	111	1946	1632	148	108
mutM	1243	510	349	82	784	771	104	80
yahK	559	739	143	106	416	919	51	73
yahL	17	19	7	12	35	17	4	5
yahM	3	3	19	14	3	8	9	12
yahN	58	38	55	34	59	43	67	38
yahF	36	27	30	13	52	40	16	27
yahG	35	47	28	11	43	60	12	11
yahI	22	32	47	35	29	32	33	37
yahJ	541	636	211	91	487	689	76	70
yadS	219	255	169	76	200	241	67	53
btuF	607	336	360	105	446	337	156	102
mtn	11462	8160	1691	555	8978	7698	720	467
dgt	608	875	267	143	445	752	99	92
fhuB	184	165	267	96	361	259	198	89
hemL	12334	10927	2730	1158	11671	14429	1092	833
clcA	952	502	568	203	851	566	217	171
erpA	5363	5858	935	608	4460	4593	273	342
yicR	44	41	536	194	42	24	249	140
ccmH	228	542	145	125	189	534	64	96
narP	1838	3606	451	442	1699	2890	202	289
degP	16963	5618	2575	550	6889	5163	489	315
cdaR	120	122	270	192	97	82	94	112
dfp	5926	3371	1904	510	4074	3772	562	348
fklB	13811	9596	1727	583	11274	8002	774	368
pheM	817	854	55	58	428	652	29	41
rplT	57685	42099	21394	11245	76606	37283	12754	8430
prlC	16036	4314	3065	547	12742	7632	958	601
btuC	212	226	261	110	197	203	97	92
ihfA	8753	22775	1931	1589	5287	17199	776	988
pheT	16812	19261	5556	3415	20567	21027	2907	1879
pheS	7165	11328	2077	1115	9648	11099	1089	731
cdgR	80	65	67	23	54	57	23	15
