,log2FC_TE_v1,pvalue_v1,log2FC_TE_v2,pvalue_v2,log2FC_TE_final,pvalue_final,pvalue.adjust
mutL,0.16715622548875,0.498214556502325,0.16659176343056,0.54440011124398,0.16659176343056,0.54440011124398,0.941609334108689
malX,-0.954068321159066,0.0263010941974535,-0.955189957586373,0.0269189147404847,-0.955189957586373,0.0269189147404847,0.397014683497157
malY,0.0351987920541839,0.890532842666361,0.0341977910360594,0.903153299644578,0.0341977910360594,0.903153299644578,0.983792826051658
add,0.0152487252569919,0.94340802410587,0.0160495257437183,0.953119633729785,0.0160495257437183,0.953119633729785,0.993740393472826
elfD,-1.7148237250982,0.295928226419214,-1.75566456398252,0.283422843974402,-1.7148237250982,0.295928226419214,0.846494482515682
blr,-0.423196616012917,0.245303752451886,-0.424685998738179,0.258310952858508,-0.424685998738179,0.258310952858508,0.829679882893203
cnu,-0.496875860076642,0.104958579511186,-0.49747583890198,0.0860848047240859,-0.496875860076642,0.104958579511186,0.639995182274666
ydgK,-0.197875950212935,0.522764565436873,-0.201885964516756,0.50801889187892,-0.197875950212935,0.522764565436873,0.936875549012108
rsxA,-0.557055774376966,0.0654777284615991,-0.559721038626951,0.0775328991512529,-0.559721038626951,0.0775328991512529,0.576353440807039
agaR,-0.369869823511892,0.175436116755303,-0.372760654424459,0.208425607516789,-0.372760654424459,0.208425607516789,0.795504127937671
kbaZ,-0.426947384729513,0.419126654112542,-0.438158603193507,0.428712053757398,-0.438158603193507,0.428712053757398,0.914530370568447
agaV,-0.430062673108466,0.5630756046933,-0.457625504246534,0.467214708087037,-0.430062673108466,0.5630756046933,0.943080415641272
agaS,-1.96584436812295,0.0273260405710803,-1.99235284059296,0.0232552642250562,-1.96584436812295,0.0273260405710803,0.397014683497157
kbaY,-1.20772456245401,0.258117659858962,-1.28538424607631,0.222651820404612,-1.20772456245401,0.258117659858962,0.829679882893203
agaB,1.09776298472836,0.401719105342768,0.98666097969086,0.254331307562065,1.09776298472836,0.401719105342768,0.903311897451262
agaC,0.997309955920249,0.288578168436434,0.993741203449581,0.466765558147555,0.993741203449581,0.466765558147555,0.926458910868631
agaD,-0.785345756421583,0.481934410377113,-0.865465923415931,0.491991945397126,-0.865465923415931,0.491991945397126,0.92981115052075
yieF,0.24124701200293,0.525962576695469,0.241247006610234,0.556102930698808,0.241247006610234,0.556102930698808,0.941779990891954
sgrR,0.00641249807663824,0.962477138115734,0.00621229784408106,0.974205377964469,0.00621229784408106,0.974205377964469,0.997318200002019
thiB,-0.239248085723091,0.400521161315184,-0.23732443068766,0.37088273340759,-0.239248085723091,0.400521161315184,0.902406711287308
thiP,-0.18854491702666,0.585208368586929,-0.193149523185848,0.586190789836042,-0.193149523185848,0.586190789836042,0.946152940192436
thiQ,-0.13715683933864,0.730496308849286,-0.143182787878973,0.694754548467914,-0.13715683933864,0.730496308849286,0.969114970201774
yabI,-0.789657454327385,0.0312716045948507,-0.790528072817461,0.0458104319773825,-0.790528072817461,0.0458104319773825,0.465090410650376
araC,0.181626873582688,0.562537403778436,0.179360602358452,0.533350980846972,0.181626873582688,0.562537403778436,0.943080415641272
araB,-1.15673854707978,0.330884642687916,-1.18076264927561,0.337091222365006,-1.18076264927561,0.337091222365006,0.867824593955993
araA,-1.08652783795095,0.348367925111255,-1.10094224593222,0.374380999988381,-1.10094224593222,0.374380999988381,0.891602427035024
diaA,0.113747808172088,0.648812126583684,0.113747806195801,0.686683804872385,0.113747806195801,0.686683804872385,0.963531731370272
yraP,0.100845348741836,0.696877925433316,0.0975455145721722,0.736790827701879,0.0975455145721722,0.736790827701879,0.969114970201774
tisB,1.79152080579981,0.101117084839861,1.19821422405338,0.58432587993757,1.19821422405338,0.58432587993757,0.945357041962105
emrD,0.434466508806199,0.156040047380137,0.431595898750884,0.172571099819848,0.431595898750884,0.172571099819848,0.767310194944983
