	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
napB	62.6831917885877	1.52174299826156	0.430130124084123	3.53786659676955	0.000403373800313373	0.00330414907133206
napH	122.079406233597	1.24643063402645	0.355397219392224	3.50714796294132	0.000452937220947354	0.00363101094422961
yfjX	3.54446066629566	1.55100532871685	1.68866986875899	0.918477529214568	0.358368917890707	NA
yfjY	5.70032186374724	-0.299400432653983	1.26656398342734	-0.236387925577831	0.813131664728144	NA
fhuD	81.3260041816822	-0.621500826928784	0.481461674851186	-1.29086251178951	0.196751356705405	0.37247332945405
fhuC	115.688558933272	-0.5954832839725	0.457726261537987	-1.30095940305378	0.193272351093353	0.368153357966674
ydiJ	563.380457725793	0.406425949484853	0.25206348518151	1.61239518366648	0.10687597227417	0.249352699450701
ydiI	95.831207210795	0.3105554581859	0.424629198125672	0.731356815679899	0.464561235326649	0.65270330201343
sgcC	36.7129883574954	0.637451227565874	0.530208577218689	1.20226502353045	0.229260863630645	0.413844212331323
sufS	111.849283257754	0.410224686262592	0.341468988180128	1.20135268637102	0.229614421089534	0.413844212331323
sufE	15.8357381474533	-0.332736902401351	0.777369934564961	-0.42802903432014	0.668629982036726	NA
sufC	44.9977360433794	-0.301708034498	0.520615384177001	-0.579521934364168	0.562237050773045	0.737227884792717
sufD	69.3406404446956	0.00769367938131975	0.421866624225769	0.0182372317209013	0.985449600951505	0.993377830756538
sufA	31.2488256406823	0.174778362924648	0.560703137603432	0.311712831983942	0.755258775015018	0.866622269629001
sufB	90.9895994978774	0.154957905863722	0.362034414179666	0.428019822963078	0.668636688309864	0.812791202498121
ydiH	35.9937081548524	1.28271042914825	0.565791195450691	2.26710920824153	0.0233835552043164	0.0806012088223951
pta	4475.59175244933	-0.618490346786659	0.217176151343913	-2.84787414713524	0.00440123256857398	0.0221238778298451
lptF	431.17413465644	-0.351037035571998	0.260995177379181	-1.34499433704862	0.178627063341505	0.349101880580192
livG	31.5747496970717	0.492086560635818	0.578513323651859	0.850605406163383	0.394988585327472	0.587619342200016
ackA	4158.85546474971	0.381998670286619	0.20844790878415	1.83258576454313	0.0668641967447121	0.178251834190198
argI	31.5915963058589	-0.0272395315469479	0.560481182604563	-0.0486002606195724	0.961237862267774	0.979773331742055
mqo	1927.23755915838	2.59574420311215	0.279395213108921	9.29058223377725	1.53446609189635e-20	3.46073252592357e-18
prkB	135.663802259695	0.0769032178166189	0.330074040792887	0.232987779444533	0.815770895259295	0.903060516577944
yfcC	56.0208814702299	-0.339724221001377	0.472302844544837	-0.719293192758078	0.471960289274289	0.657845464894863
yjgM	117.252266163573	-0.463434117102488	0.396886640622385	-1.16767376290556	0.242938383912599	0.429843385343265
yeiL	4.19582332771517	1.34895969438002	1.41458082861944	0.953610898075396	0.340280637224508	NA
efp	2042.80021844336	-1.23475391270451	0.224390490815117	-5.50270159942678	3.74015159999321e-08	1.22130166786605e-06
psuT	54.431143970727	2.30282272968995	0.51356059253001	4.4840331660677	7.32452703085601e-06	0.000112121606087719
cutA	75.0573340597269	-0.552974311009149	0.421908006019693	-1.31065138162687	0.189975571411636	0.364335237009957
yhhA	32.5277982938427	0.198198301825611	0.560389303522175	0.353679666224694	0.723578962906585	0.851737590175025
yicC	431.967881553302	-0.185176640297446	0.260007898898583	-0.712196210506953	0.476343283234868	0.660438248845721
yfbV	312.618815994819	1.88721254827133	0.269033583311251	7.01478426984328	2.30304026238941e-12	1.90028907503985e-10
dsbD	364.530646823952	-0.288736917349538	0.282436967120561	-1.02230568573656	0.306636243036794	0.501167062368918
yfbU	290.660071509553	1.02595490594551	0.281300430314456	3.64718569679623	0.000265128319188716	0.00227265992519693
phnD	7.49241937607069	-0.460167299815952	1.11012413261289	-0.414518778844002	0.678494217154881	NA
yfdP	6.2200017693615	1.68771394482484	1.3414315114288	1.25814395326617	0.208339700001477	NA
yfdQ	18.1791041303377	0.434369320155561	0.706738886853839	0.61461075403566	0.538811810693687	NA
yfdN	1.25807499993494	0.925851877551329	2.58575387267506	0.358058780201497	0.720299325357282	NA
phnC	5.4455180742435	1.40945813780954	1.31456487689057	1.07218606140112	0.283636469740624	NA
yfdK	21.7705211214951	1.22985537200051	0.65817839403902	1.86857451283579	0.0616820344523426	0.168827121806048
yigM	78.4134827160958	-0.922525627322742	0.461300203841535	-1.99983789220186	0.045517771447641	0.13472145302482
yfdR	6.34287181170281	0.600211227304004	1.15222680646699	0.520914132473968	0.602426589944048	NA
yfdS	6.08342423671555	0.425748894293814	1.23853571994074	0.343751809042847	0.731032944782238	NA
ugpQ	108.912736921399	-0.21369357456551	0.347599279840458	-0.614769900166629	0.538706689975118	0.716088303412897
rspA	16.9326120874499	-0.373711102177123	0.779501706016258	-0.479423071550441	0.631637683477917	NA
rspB	9.10847717646625	-0.701320648729155	0.983512013104581	-0.713077867259951	0.475797574343186	NA
ydfD	0.735192390680151	1.65211484821042	3.26171468847706	0.506517278794183	0.612493562941074	NA
rhtB	31.1291477081255	0.178525423814893	0.548492146413694	0.325484010996653	0.744814781797829	0.861899316746258
ydfC	6.67572444579969	-0.542853579627941	1.17129758594983	-0.463463415394755	0.643032232385115	NA
ydfB	2.64204127715155	-1.03408595971069	1.76834431211988	-0.584776365452851	0.558698098171902	NA
dicB	1.70523595426637	0.938871639130016	2.13391423396068	0.439976276547633	0.659954289590129	NA
rfbD	800.087130944251	0.10503070488818	0.222736881777201	0.471546086351518	0.637250816843765	0.791126426929342
rfbB	979.36459702763	0.288408148179686	0.218543869096207	1.319680800804	0.186941612779053	0.360355256998026
rfbC	336.248315695592	0.067593030461522	0.259205639879965	0.260769906445027	0.794269952868002	0.891304565017719
rfbA	670.797565147097	0.147101575290933	0.227521025707789	0.646540577220583	0.517929327291457	0.698069686943027
wcaL	36.0219820480939	1.21055625692463	0.536089118729741	2.25812502927319	0.023937865597011	0.0820484288902617
wcaK	20.1577673289653	1.12297606061213	0.672577528647539	1.6696603927138	0.0949865742831792	NA
galF	1632.71351916906	0.827798987551699	0.243107712568936	3.40507085852723	0.000661468877928803	0.00490734476761653
yafP	13.7491342688431	-0.211885614393744	0.797380427258543	-0.265727132433165	0.790449365734806	NA
ydhR	176.293789937071	0.730595224391768	0.303212401156247	2.40951630476119	0.0159736822978658	0.0603964222977875
wzxC	18.4584241574477	1.05120175212546	0.761187503232038	1.38100237807637	0.167278229468452	NA
wcaJ	20.6110025347456	0.378126850315302	0.732975233008807	0.515879436694089	0.605938616949237	0.772044990801341
pepD	1358.80286164767	-0.644020359461492	0.211090518338674	-3.05092035649002	0.00228141081788546	0.0130813776218754
nanS	15.8230498727904	0.0824882452727604	0.791423652250008	0.104227672547121	0.916988674047836	NA
ugpC	63.5693102821274	0.00169576249829959	0.416263809449654	0.00407376874905741	0.996749611801201	0.998848762101602
gltD	1126.44901938256	0.613767261533315	0.24669725350655	2.48793714891122	0.0128486437650323	0.0513793875379483
gltB	2758.14640556448	0.812509210696616	0.240334238390397	3.38074681384673	0.000722891193580092	0.00530486097154328
ypjD	350.150811871836	0.081788484488652	0.283802022006861	0.288188519272335	0.773202436463468	0.878061041475634
yfjD	428.343220358004	-0.0483913324340927	0.263186178882777	-0.183867301237145	0.854117557263913	0.923746705953906
